'Elapsed time','II'
'seconds','mV'
0.000,-0.131
0.001,-0.097
0.002,-0.096
0.003,-0.094
0.004,-0.095
0.005,-0.097
0.006,-0.097
0.007,-0.094
0.008,-0.088
0.009,-0.088
0.010,-0.088
0.011,-0.084
0.012,-0.078
0.013,-0.075
0.014,-0.077
0.015,-0.075
0.016,-0.084
0.017,-0.091
0.018,-0.101
0.019,-0.106
0.020,-0.106
0.021,-0.103
0.022,-0.103
0.023,-0.103
0.024,-0.106
0.025,-0.113
0.026,-0.126
0.027,-0.134
0.028,-0.136
0.029,-0.137
0.030,-0.143
0.031,-0.141
0.032,-0.142
0.033,-0.147
0.034,-0.151
0.035,-0.159
0.036,-0.162
0.037,-0.166
0.038,-0.166
0.039,-0.162
0.040,-0.161
0.041,-0.159
0.042,-0.153
0.043,-0.153
0.044,-0.153
0.045,-0.156
0.046,-0.156
0.047,-0.156
0.048,-0.156
0.049,-0.159
0.050,-0.159
0.051,-0.159
0.052,-0.158
0.053,-0.156
0.054,-0.161
0.055,-0.162
0.056,-0.162
0.057,-0.159
0.058,-0.159
0.059,-0.159
0.060,-0.161
0.061,-0.159
0.062,-0.164
0.063,-0.166
0.064,-0.164
0.065,-0.162
0.066,-0.166
0.067,-0.162
0.068,-0.164
0.069,-0.162
0.070,-0.164
0.071,-0.166
0.072,-0.166
0.073,-0.166
0.074,-0.166
0.075,-0.166
0.076,-0.166
0.077,-0.166
0.078,-0.164
0.079,-0.162
0.080,-0.162
0.081,-0.162
0.082,-0.162
0.083,-0.162
0.084,-0.166
0.085,-0.166
0.086,-0.166
0.087,-0.169
0.088,-0.175
0.089,-0.178
0.090,-0.184
0.091,-0.194
0.092,-0.208
0.093,-0.219
0.094,-0.231
0.095,-0.250
0.096,-0.264
0.097,-0.278
0.098,-0.295
0.099,-0.309
0.100,-0.322
0.101,-0.334
0.102,-0.347
0.103,-0.350
0.104,-0.358
0.105,-0.359
0.106,-0.364
0.107,-0.359
0.108,-0.348
0.109,-0.328
0.110,-0.302
0.111,-0.269
0.112,-0.233
0.113,-0.191
0.114,-0.136
0.115,-0.081
0.116,-0.028
0.117,0.028
0.118,0.083
0.119,0.153
0.120,0.236
0.121,0.337
0.122,0.437
0.123,0.553
0.124,0.670
0.125,0.803
0.126,0.941
0.127,1.091
0.128,1.244
0.129,1.400
0.130,1.556
0.131,1.694
0.132,1.825
0.133,1.956
0.134,2.081
0.135,2.162
0.136,2.223
0.137,2.197
0.138,2.132
0.139,1.987
0.140,1.819
0.141,1.659
0.142,1.484
0.143,1.337
0.144,1.197
0.145,1.069
0.146,0.949
0.147,0.847
0.148,0.766
0.149,0.675
0.150,0.580
0.151,0.459
0.152,0.322
0.153,0.212
0.154,0.113
0.155,0.037
0.156,-0.031
0.157,-0.081
0.158,-0.125
0.159,-0.159
0.160,-0.191
0.161,-0.209
0.162,-0.222
0.163,-0.213
0.164,-0.206
0.165,-0.191
0.166,-0.183
0.167,-0.175
0.168,-0.167
0.169,-0.159
0.170,-0.146
0.171,-0.137
0.172,-0.128
0.173,-0.122
0.174,-0.119
0.175,-0.116
0.176,-0.109
0.177,-0.106
0.178,-0.103
0.179,-0.097
0.180,-0.095
0.181,-0.097
0.182,-0.098
0.183,-0.103
0.184,-0.106
0.185,-0.106
0.186,-0.103
0.187,-0.100
0.188,-0.091
0.189,-0.084
0.190,-0.083
0.191,-0.084
0.192,-0.078
0.193,-0.075
0.194,-0.075
0.195,-0.072
0.196,-0.075
0.197,-0.078
0.198,-0.081
0.199,-0.081
0.200,-0.079
0.201,-0.081
0.202,-0.084
0.203,-0.088
0.204,-0.089
0.205,-0.091
0.206,-0.084
0.207,-0.081
0.208,-0.077
0.209,-0.075
0.210,-0.072
0.211,-0.072
0.212,-0.074
0.213,-0.072
0.214,-0.078
0.215,-0.078
0.216,-0.075
0.217,-0.075
0.218,-0.078
0.219,-0.075
0.220,-0.071
0.221,-0.069
0.222,-0.066
0.223,-0.066
0.224,-0.067
0.225,-0.066
0.226,-0.067
0.227,-0.069
0.228,-0.061
0.229,-0.056
0.230,-0.057
0.231,-0.059
0.232,-0.056
0.233,-0.053
0.234,-0.056
0.235,-0.053
0.236,-0.056
0.237,-0.056
0.238,-0.055
0.239,-0.053
0.240,-0.050
0.241,-0.050
0.242,-0.046
0.243,-0.044
0.244,-0.044
0.245,-0.044
0.246,-0.046
0.247,-0.044
0.248,-0.039
0.249,-0.034
0.250,-0.031
0.251,-0.031
0.252,-0.032
0.253,-0.031
0.254,-0.031
0.255,-0.028
0.256,-0.025
0.257,-0.022
0.258,-0.019
0.259,-0.019
0.260,-0.017
0.261,-0.019
0.262,-0.019
0.263,-0.019
0.264,-0.014
0.265,-0.013
0.266,-0.009
0.267,-0.009
0.268,-0.008
0.269,-0.003
0.270,-0.003
0.271,-0.003
0.272,-0.001
0.273,-0.003
0.274,0.000
0.275,0.006
0.276,0.006
0.277,0.009
0.278,0.012
0.279,0.012
0.280,0.016
0.281,0.012
0.282,0.019
0.283,0.022
0.284,0.028
0.285,0.034
0.286,0.036
0.287,0.037
0.288,0.042
0.289,0.047
0.290,0.050
0.291,0.047
0.292,0.046
0.293,0.044
0.294,0.047
0.295,0.050
0.296,0.056
0.297,0.059
0.298,0.061
0.299,0.062
0.300,0.067
0.301,0.075
0.302,0.078
0.303,0.084
0.304,0.089
0.305,0.094
0.306,0.098
0.307,0.100
0.308,0.102
0.309,0.103
0.310,0.109
0.311,0.113
0.312,0.120
0.313,0.125
0.314,0.132
0.315,0.137
0.316,0.141
0.317,0.144
0.318,0.147
0.319,0.153
0.320,0.162
0.321,0.169
0.322,0.175
0.323,0.181
0.324,0.189
0.325,0.197
0.326,0.199
0.327,0.203
0.328,0.209
0.329,0.212
0.330,0.222
0.331,0.228
0.332,0.234
0.333,0.237
0.334,0.244
0.335,0.250
0.336,0.254
0.337,0.262
0.338,0.270
0.339,0.281
0.340,0.287
0.341,0.291
0.342,0.297
0.343,0.306
0.344,0.311
0.345,0.319
0.346,0.324
0.347,0.328
0.348,0.334
0.349,0.341
0.350,0.350
0.351,0.359
0.352,0.370
0.353,0.378
0.354,0.380
0.355,0.384
0.356,0.386
0.357,0.384
0.358,0.389
0.359,0.400
0.360,0.409
0.361,0.416
0.362,0.414
0.363,0.412
0.364,0.422
0.365,0.428
0.366,0.432
0.367,0.441
0.368,0.444
0.369,0.447
0.370,0.447
0.371,0.447
0.372,0.450
0.373,0.450
0.374,0.452
0.375,0.450
0.376,0.449
0.377,0.447
0.378,0.450
0.379,0.453
0.380,0.449
0.381,0.444
0.382,0.442
0.383,0.437
0.384,0.429
0.385,0.425
0.386,0.417
0.387,0.406
0.388,0.399
0.389,0.388
0.390,0.378
0.391,0.366
0.392,0.355
0.393,0.344
0.394,0.334
0.395,0.322
0.396,0.305
0.397,0.287
0.398,0.275
0.399,0.259
0.400,0.251
0.401,0.241
0.402,0.227
0.403,0.212
0.404,0.196
0.405,0.181
0.406,0.173
0.407,0.159
0.408,0.148
0.409,0.137
0.410,0.128
0.411,0.116
0.412,0.103
0.413,0.091
0.414,0.082
0.415,0.072
0.416,0.061
0.417,0.053
0.418,0.044
0.419,0.037
0.420,0.028
0.421,0.022
0.422,0.014
0.423,0.009
0.424,-0.001
0.425,-0.009
0.426,-0.017
0.427,-0.025
0.428,-0.025
0.429,-0.031
0.430,-0.039
0.431,-0.044
0.432,-0.046
0.433,-0.050
0.434,-0.054
0.435,-0.063
0.436,-0.066
0.437,-0.066
0.438,-0.066
0.439,-0.066
0.440,-0.075
0.441,-0.078
0.442,-0.081
0.443,-0.084
0.444,-0.081
0.445,-0.084
0.446,-0.084
0.447,-0.088
0.448,-0.091
0.449,-0.094
0.450,-0.099
0.451,-0.097
0.452,-0.100
0.453,-0.100
0.454,-0.100
0.455,-0.100
0.456,-0.099
0.457,-0.100
0.458,-0.101
0.459,-0.106
0.460,-0.111
0.461,-0.113
0.462,-0.114
0.463,-0.113
0.464,-0.109
0.465,-0.109
0.466,-0.105
0.467,-0.106
0.468,-0.111
0.469,-0.116
0.470,-0.120
0.471,-0.122
0.472,-0.119
0.473,-0.119
0.474,-0.123
0.475,-0.122
0.476,-0.116
0.477,-0.106
0.478,-0.108
0.479,-0.106
0.480,-0.111
0.481,-0.116
0.482,-0.119
0.483,-0.119
0.484,-0.121
0.485,-0.116
0.486,-0.118
0.487,-0.116
0.488,-0.120
0.489,-0.122
0.490,-0.124
0.491,-0.122
