'Elapsed time','II'
'seconds','mV'
0.000,-0.045
0.001,0.034
0.002,0.039
0.003,0.044
0.004,0.044
0.005,0.044
0.006,0.051
0.007,0.053
0.008,0.056
0.009,0.059
0.010,0.061
0.011,0.059
0.012,0.062
0.013,0.066
0.014,0.067
0.015,0.072
0.016,0.072
0.017,0.072
0.018,0.071
0.019,0.069
0.020,0.076
0.021,0.078
0.022,0.078
0.023,0.081
0.024,0.081
0.025,0.081
0.026,0.080
0.027,0.081
0.028,0.081
0.029,0.081
0.030,0.088
0.031,0.091
0.032,0.092
0.033,0.094
0.034,0.091
0.035,0.091
0.036,0.092
0.037,0.094
0.038,0.096
0.039,0.094
0.040,0.091
0.041,0.088
0.042,0.084
0.043,0.088
0.044,0.094
0.045,0.097
0.046,0.096
0.047,0.094
0.048,0.091
0.049,0.091
0.050,0.084
0.051,0.081
0.052,0.083
0.053,0.081
0.054,0.082
0.055,0.088
0.056,0.088
0.057,0.088
0.058,0.091
0.059,0.088
0.060,0.086
0.061,0.088
0.062,0.083
0.063,0.084
0.064,0.088
0.065,0.091
0.066,0.091
0.067,0.094
0.068,0.091
0.069,0.088
0.070,0.091
0.071,0.097
0.072,0.094
0.073,0.097
0.074,0.097
0.075,0.094
0.076,0.097
0.077,0.094
0.078,0.097
0.079,0.097
0.080,0.092
0.081,0.094
0.082,0.092
0.083,0.091
0.084,0.092
0.085,0.091
0.086,0.092
0.087,0.091
0.088,0.089
0.089,0.091
0.090,0.092
0.091,0.091
0.092,0.086
0.093,0.084
0.094,0.082
0.095,0.084
0.096,0.080
0.097,0.078
0.098,0.069
0.099,0.066
0.100,0.066
0.101,0.062
0.102,0.062
0.103,0.062
0.104,0.056
0.105,0.050
0.106,0.046
0.107,0.044
0.108,0.045
0.109,0.047
0.110,0.039
0.111,0.037
0.112,0.036
0.113,0.034
0.114,0.031
0.115,0.028
0.116,0.022
0.117,0.019
0.118,0.014
0.119,0.009
0.120,0.007
0.121,0.003
0.122,0.002
0.123,-0.003
0.124,-0.004
0.125,-0.009
0.126,-0.008
0.127,-0.009
0.128,-0.009
0.129,-0.013
0.130,-0.009
0.131,-0.013
0.132,-0.014
0.133,-0.016
0.134,-0.020
0.135,-0.025
0.136,-0.031
0.137,-0.034
0.138,-0.033
0.139,-0.034
0.140,-0.034
0.141,-0.034
0.142,-0.037
0.143,-0.037
0.144,-0.041
0.145,-0.044
0.146,-0.044
0.147,-0.047
0.148,-0.046
0.149,-0.047
0.150,-0.049
0.151,-0.047
0.152,-0.047
0.153,-0.047
0.154,-0.047
0.155,-0.047
0.156,-0.047
0.157,-0.044
0.158,-0.046
0.159,-0.044
0.160,-0.048
0.161,-0.050
0.162,-0.052
0.163,-0.053
0.164,-0.050
0.165,-0.050
0.166,-0.056
0.167,-0.059
0.168,-0.061
0.169,-0.062
0.170,-0.059
0.171,-0.056
0.172,-0.056
0.173,-0.056
0.174,-0.056
0.175,-0.053
0.176,-0.055
0.177,-0.053
0.178,-0.054
0.179,-0.053
0.180,-0.055
0.181,-0.056
0.182,-0.058
0.183,-0.059
0.184,-0.056
0.185,-0.056
0.186,-0.059
0.187,-0.059
0.188,-0.058
0.189,-0.059
0.190,-0.056
0.191,-0.053
0.192,-0.053
0.193,-0.053
0.194,-0.054
0.195,-0.056
0.196,-0.055
0.197,-0.053
0.198,-0.053
0.199,-0.053
0.200,-0.056
0.201,-0.056
0.202,-0.055
0.203,-0.053
0.204,-0.054
0.205,-0.056
0.206,-0.059
0.207,-0.066
0.208,-0.067
0.209,-0.069
0.210,-0.067
0.211,-0.066
0.212,-0.066
0.213,-0.069
0.214,-0.072
0.215,-0.072
0.216,-0.075
0.217,-0.075
0.218,-0.074
0.219,-0.072
0.220,-0.078
0.221,-0.081
0.222,-0.081
0.223,-0.075
0.224,-0.079
0.225,-0.081
0.226,-0.084
0.227,-0.088
0.228,-0.086
0.229,-0.088
0.230,-0.091
0.231,-0.094
0.232,-0.092
0.233,-0.091
0.234,-0.086
0.235,-0.084
0.236,-0.081
0.237,-0.084
0.238,-0.088
0.239,-0.088
0.240,-0.088
0.241,-0.088
0.242,-0.092
0.243,-0.097
0.244,-0.098
0.245,-0.100
0.246,-0.097
0.247,-0.097
0.248,-0.092
0.249,-0.094
0.250,-0.101
0.251,-0.103
0.252,-0.099
0.253,-0.094
0.254,-0.097
0.255,-0.103
0.256,-0.102
0.257,-0.100
0.258,-0.097
0.259,-0.097
0.260,-0.097
0.261,-0.097
0.262,-0.097
0.263,-0.097
0.264,-0.094
0.265,-0.094
0.266,-0.083
0.267,-0.078
0.268,-0.071
0.269,-0.066
0.270,-0.047
0.271,-0.034
0.272,-0.024
0.273,-0.016
0.274,-0.014
0.275,-0.009
0.276,-0.003
0.277,0.000
0.278,0.002
0.279,0.003
0.280,0.007
0.281,0.009
0.282,0.009
0.283,0.009
0.284,0.005
0.285,0.003
0.286,0.014
0.287,0.022
0.288,0.024
0.289,0.025
0.290,0.029
0.291,0.037
0.292,0.046
0.293,0.050
0.294,0.059
0.295,0.069
0.296,0.077
0.297,0.084
0.298,0.092
0.299,0.100
0.300,0.107
0.301,0.116
0.302,0.126
0.303,0.128
0.304,0.129
0.305,0.131
0.306,0.125
0.307,0.119
0.308,0.121
0.309,0.119
0.310,0.120
0.311,0.119
0.312,0.119
0.313,0.119
0.314,0.114
0.315,0.109
0.316,0.103
0.317,0.097
0.318,0.089
0.319,0.081
0.320,0.079
0.321,0.081
0.322,0.081
0.323,0.081
0.324,0.078
0.325,0.075
0.326,0.064
0.327,0.056
0.328,0.037
0.329,0.025
0.330,0.008
0.331,-0.006
0.332,-0.016
0.333,-0.022
0.334,-0.021
0.335,-0.025
0.336,-0.032
0.337,-0.044
0.338,-0.053
0.339,-0.059
0.340,-0.072
0.341,-0.081
0.342,-0.092
0.343,-0.100
0.344,-0.109
0.345,-0.119
0.346,-0.122
0.347,-0.122
0.348,-0.138
0.349,-0.147
0.350,-0.153
0.351,-0.156
0.352,-0.159
0.353,-0.163
0.354,-0.166
0.355,-0.169
0.356,-0.171
0.357,-0.166
0.358,-0.166
0.359,-0.163
0.360,-0.169
0.361,-0.172
0.362,-0.175
0.363,-0.178
0.364,-0.177
0.365,-0.175
0.366,-0.175
0.367,-0.178
0.368,-0.178
0.369,-0.181
0.370,-0.184
0.371,-0.184
0.372,-0.187
0.373,-0.191
0.374,-0.192
0.375,-0.194
0.376,-0.195
0.377,-0.197
0.378,-0.196
0.379,-0.194
0.380,-0.193
0.381,-0.191
0.382,-0.191
0.383,-0.194
0.384,-0.194
0.385,-0.197
0.386,-0.195
0.387,-0.197
0.388,-0.198
0.389,-0.197
0.390,-0.197
0.391,-0.197
0.392,-0.197
0.393,-0.197
0.394,-0.197
0.395,-0.197
0.396,-0.197
0.397,-0.194
0.398,-0.194
0.399,-0.194
0.400,-0.194
0.401,-0.197
0.402,-0.198
0.403,-0.197
0.404,-0.197
0.405,-0.197
0.406,-0.197
0.407,-0.197
0.408,-0.200
0.409,-0.203
0.410,-0.203
0.411,-0.209
0.412,-0.217
0.413,-0.228
0.414,-0.238
0.415,-0.238
0.416,-0.229
0.417,-0.225
0.418,-0.216
0.419,-0.206
0.420,-0.198
0.421,-0.184
0.422,-0.172
0.423,-0.147
0.424,-0.109
0.425,-0.069
0.426,-0.027
0.427,0.025
0.428,0.081
0.429,0.144
0.430,0.211
0.431,0.294
0.432,0.378
0.433,0.472
0.434,0.564
0.435,0.669
0.436,0.775
0.437,0.875
0.438,0.981
0.439,1.081
0.440,1.186
0.441,1.275
0.442,1.361
0.443,1.422
0.444,1.486
0.445,1.525
0.446,1.548
0.447,1.513
0.448,1.456
0.449,1.369
0.450,1.273
0.451,1.156
0.452,1.034
0.453,0.897
0.454,0.749
0.455,0.584
0.456,0.425
0.457,0.288
0.458,0.152
0.459,0.041
0.460,-0.066
0.461,-0.122
0.462,-0.159
0.463,-0.184
0.464,-0.184
0.465,-0.181
0.466,-0.181
0.467,-0.175
0.468,-0.175
0.469,-0.178
0.470,-0.179
0.471,-0.178
0.472,-0.179
0.473,-0.178
0.474,-0.175
0.475,-0.172
0.476,-0.169
0.477,-0.163
0.478,-0.161
0.479,-0.159
0.480,-0.156
0.481,-0.153
0.482,-0.153
0.483,-0.156
0.484,-0.156
0.485,-0.159
0.486,-0.161
0.487,-0.163
0.488,-0.163
0.489,-0.163
0.490,-0.161
0.491,-0.163
0.492,-0.163
0.493,-0.163
0.494,-0.167
0.495,-0.166
0.496,-0.167
0.497,-0.169
0.498,-0.172
0.499,-0.175
0.500,-0.181
0.501,-0.178
0.502,-0.181
0.503,-0.181
0.504,-0.178
0.505,-0.178
0.506,-0.178
0.507,-0.178
0.508,-0.178
0.509,-0.181
0.510,-0.178
0.511,-0.178
0.512,-0.177
0.513,-0.175
0.514,-0.172
0.515,-0.172
0.516,-0.176
0.517,-0.181
0.518,-0.179
0.519,-0.181
0.520,-0.177
0.521,-0.175
0.522,-0.171
0.523,-0.169
0.524,-0.168
0.525,-0.169
0.526,-0.170
0.527,-0.169
0.528,-0.170
0.529,-0.169
0.530,-0.168
0.531,-0.166
0.532,-0.167
0.533,-0.166
0.534,-0.166
0.535,-0.166
0.536,-0.164
0.537,-0.159
0.538,-0.159
0.539,-0.156
0.540,-0.153
0.541,-0.153
0.542,-0.153
0.543,-0.150
0.544,-0.147
0.545,-0.144
0.546,-0.145
0.547,-0.147
0.548,-0.145
0.549,-0.147
0.550,-0.147
0.551,-0.147
0.552,-0.147
0.553,-0.150
0.554,-0.147
0.555,-0.144
0.556,-0.147
0.557,-0.147
0.558,-0.142
0.559,-0.138
0.560,-0.139
0.561,-0.141
0.562,-0.139
0.563,-0.141
0.564,-0.141
0.565,-0.141
0.566,-0.138
0.567,-0.141
0.568,-0.139
0.569,-0.141
0.570,-0.141
0.571,-0.141
0.572,-0.136
0.573,-0.128
0.574,-0.127
0.575,-0.125
0.576,-0.126
0.577,-0.128
0.578,-0.129
0.579,-0.131
0.580,-0.130
0.581,-0.128
0.582,-0.128
0.583,-0.128
0.584,-0.124
0.585,-0.125
0.586,-0.122
0.587,-0.122
0.588,-0.123
0.589,-0.125
0.590,-0.122
0.591,-0.122
0.592,-0.121
0.593,-0.119
0.594,-0.117
0.595,-0.119
0.596,-0.119
0.597,-0.122
0.598,-0.120
0.599,-0.122
0.600,-0.117
0.601,-0.119
0.602,-0.114
0.603,-0.112
0.604,-0.114
0.605,-0.112
0.606,-0.112
0.607,-0.109
0.608,-0.109
0.609,-0.109
0.610,-0.102
0.611,-0.094
0.612,-0.092
0.613,-0.091
0.614,-0.089
0.615,-0.091
0.616,-0.092
0.617,-0.088
0.618,-0.086
0.619,-0.081
0.620,-0.080
0.621,-0.075
0.622,-0.073
0.623,-0.072
0.624,-0.075
0.625,-0.075
0.626,-0.071
0.627,-0.059
0.628,-0.056
0.629,-0.050
0.630,-0.054
0.631,-0.053
0.632,-0.056
0.633,-0.056
0.634,-0.050
0.635,-0.044
0.636,-0.044
0.637,-0.041
0.638,-0.036
0.639,-0.031
0.640,-0.025
0.641,-0.019
0.642,-0.016
0.643,-0.013
0.644,-0.011
0.645,-0.006
0.646,-0.004
0.647,-0.003
0.648,-0.001
0.649,-0.003
0.650,0.000
0.651,0.003
0.652,0.003
0.653,0.006
0.654,0.006
0.655,0.009
0.656,0.011
0.657,0.009
0.658,0.009
0.659,0.009
0.660,0.014
0.661,0.016
0.662,0.023
0.663,0.028
0.664,0.025
0.665,0.028
0.666,0.029
0.667,0.028
0.668,0.030
0.669,0.025
0.670,0.025
0.671,0.028
0.672,0.025
0.673,0.025
0.674,0.022
0.675,0.022
0.676,0.025
0.677,0.025
0.678,0.026
0.679,0.028
0.680,0.025
0.681,0.025
0.682,0.029
0.683,0.031
0.684,0.031
0.685,0.031
0.686,0.031
0.687,0.031
0.688,0.031
0.689,0.031
0.690,0.036
0.691,0.041
0.692,0.042
0.693,0.044
0.694,0.043
0.695,0.041
0.696,0.039
0.697,0.037
0.698,0.039
0.699,0.037
0.700,0.041
0.701,0.041
0.702,0.039
0.703,0.037
0.704,0.037
0.705,0.037
0.706,0.036
0.707,0.037
0.708,0.041
0.709,0.044
0.710,0.045
0.711,0.044
0.712,0.046
0.713,0.044
0.714,0.044
0.715,0.044
0.716,0.043
0.717,0.044
0.718,0.047
0.719,0.053
0.720,0.052
0.721,0.047
0.722,0.049
0.723,0.044
0.724,0.042
0.725,0.044
0.726,0.043
0.727,0.041
0.728,0.041
0.729,0.041
0.730,0.042
0.731,0.044
0.732,0.037
0.733,0.034
0.734,0.032
0.735,0.031
0.736,0.036
0.737,0.034
0.738,0.032
0.739,0.031
0.740,0.030
0.741,0.025
0.742,0.021
0.743,0.016
0.744,0.014
0.745,0.016
0.746,0.014
0.747,0.013
0.748,0.006
0.749,0.003
0.750,-0.003
0.751,-0.006
0.752,-0.009
0.753,-0.013
0.754,-0.013
0.755,-0.013
0.756,-0.019
0.757,-0.019
0.758,-0.025
0.759,-0.028
0.760,-0.033
0.761,-0.034
0.762,-0.037
0.763,-0.044
0.764,-0.048
0.765,-0.050
0.766,-0.050
0.767,-0.050
0.768,-0.052
0.769,-0.050
0.770,-0.053
0.771,-0.053
0.772,-0.058
0.773,-0.062
0.774,-0.067
0.775,-0.072
0.776,-0.074
0.777,-0.072
0.778,-0.071
0.779,-0.072
0.780,-0.069
0.781,-0.069
0.782,-0.069
0.783,-0.069
0.784,-0.076
0.785,-0.081
0.786,-0.081
0.787,-0.081
0.788,-0.084
0.789,-0.084
0.790,-0.083
0.791,-0.084
0.792,-0.084
0.793,-0.084
0.794,-0.086
0.795,-0.084
0.796,-0.086
0.797,-0.088
0.798,-0.089
0.799,-0.091
0.800,-0.089
0.801,-0.088
0.802,-0.089
0.803,-0.088
0.804,-0.088
0.805,-0.091
0.806,-0.091
0.807,-0.091
0.808,-0.091
0.809,-0.088
0.810,-0.091
0.811,-0.091
0.812,-0.089
0.813,-0.091
0.814,-0.092
0.815,-0.094
0.816,-0.091
0.817,-0.094
0.818,-0.097
0.819,-0.100
0.820,-0.097
0.821,-0.094
0.822,-0.096
0.823,-0.094
0.824,-0.095
0.825,-0.097
0.826,-0.096
0.827,-0.094
0.828,-0.094
0.829,-0.091
0.830,-0.098
0.831,-0.103
0.832,-0.103
0.833,-0.103
0.834,-0.106
0.835,-0.106
0.836,-0.103
0.837,-0.103
0.838,-0.107
0.839,-0.106
0.840,-0.104
0.841,-0.109
0.842,-0.106
0.843,-0.103
0.844,-0.106
0.845,-0.106
0.846,-0.105
0.847,-0.106
0.848,-0.111
0.849,-0.109
0.850,-0.109
0.851,-0.109
0.852,-0.109
0.853,-0.109
0.854,-0.109
0.855,-0.112
0.856,-0.109
0.857,-0.112
0.858,-0.109
0.859,-0.109
0.860,-0.114
0.861,-0.119
0.862,-0.119
0.863,-0.122
0.864,-0.122
0.865,-0.119
0.866,-0.119
0.867,-0.119
0.868,-0.119
0.869,-0.122
0.870,-0.122
0.871,-0.119
0.872,-0.122
0.873,-0.122
0.874,-0.122
0.875,-0.122
0.876,-0.124
0.877,-0.122
0.878,-0.125
0.879,-0.122
0.880,-0.128
0.881,-0.131
0.882,-0.131
0.883,-0.131
0.884,-0.128
0.885,-0.128
0.886,-0.128
0.887,-0.128
0.888,-0.128
0.889,-0.128
0.890,-0.129
0.891,-0.134
0.892,-0.133
0.893,-0.138
0.894,-0.139
0.895,-0.138
0.896,-0.136
0.897,-0.134
0.898,-0.136
0.899,-0.138
0.900,-0.138
0.901,-0.138
0.902,-0.136
0.903,-0.138
0.904,-0.131
0.905,-0.131
0.906,-0.136
0.907,-0.134
0.908,-0.134
0.909,-0.134
0.910,-0.134
0.911,-0.138
0.912,-0.138
0.913,-0.138
0.914,-0.131
0.915,-0.128
0.916,-0.128
0.917,-0.128
0.918,-0.124
0.919,-0.119
0.920,-0.111
0.921,-0.106
0.922,-0.097
0.923,-0.094
0.924,-0.088
0.925,-0.084
0.926,-0.071
0.927,-0.062
0.928,-0.050
0.929,-0.041
0.930,-0.036
0.931,-0.028
0.932,-0.026
0.933,-0.028
0.934,-0.024
0.935,-0.019
0.936,-0.013
0.937,-0.009
0.938,-0.011
0.939,-0.013
0.940,-0.019
0.941,-0.022
0.942,-0.019
0.943,-0.019
0.944,-0.009
0.945,0.000
0.946,0.003
0.947,0.009
0.948,0.017
0.949,0.022
0.950,0.034
0.951,0.047
0.952,0.052
0.953,0.056
0.954,0.067
0.955,0.078
0.956,0.089
0.957,0.100
0.958,0.106
0.959,0.103
0.960,0.097
0.961,0.091
0.962,0.088
0.963,0.084
0.964,0.086
0.965,0.084
0.966,0.086
0.967,0.084
0.968,0.086
0.969,0.088
0.970,0.086
0.971,0.084
0.972,0.074
0.973,0.062
0.974,0.056
0.975,0.050
0.976,0.047
0.977,0.047
0.978,0.047
0.979,0.047
0.980,0.044
0.981,0.041
0.982,0.028
0.983,0.019
0.984,0.002
0.985,-0.009
0.986,-0.021
0.987,-0.028
0.988,-0.037
0.989,-0.044
0.990,-0.048
0.991,-0.059
0.992,-0.069
0.993,-0.081
0.994,-0.088
0.995,-0.091
0.996,-0.097
0.997,-0.100
0.998,-0.108
0.999,-0.112
1.000,-0.119
1.001,-0.125
1.002,-0.131
1.003,-0.134
1.004,-0.145
1.005,-0.150
1.006,-0.156
1.007,-0.159
1.008,-0.161
1.009,-0.163
1.010,-0.166
1.011,-0.169
1.012,-0.174
1.013,-0.172
1.014,-0.178
1.015,-0.181
1.016,-0.184
1.017,-0.184
1.018,-0.183
1.019,-0.181
1.020,-0.181
1.021,-0.181
1.022,-0.181
1.023,-0.184
1.024,-0.183
1.025,-0.184
1.026,-0.187
1.027,-0.187
1.028,-0.191
1.029,-0.194
1.030,-0.195
1.031,-0.197
1.032,-0.197
1.033,-0.197
1.034,-0.198
1.035,-0.200
1.036,-0.197
1.037,-0.194
1.038,-0.193
1.039,-0.194
1.040,-0.194
1.041,-0.197
1.042,-0.195
1.043,-0.197
1.044,-0.194
1.045,-0.187
1.046,-0.189
1.047,-0.191
1.048,-0.189
1.049,-0.187
1.050,-0.187
1.051,-0.187
1.052,-0.191
1.053,-0.191
1.054,-0.191
1.055,-0.191
1.056,-0.189
1.057,-0.191
1.058,-0.191
1.059,-0.187
1.060,-0.187
1.061,-0.187
1.062,-0.187
1.063,-0.187
1.064,-0.191
1.065,-0.194
1.066,-0.198
1.067,-0.209
1.068,-0.211
1.069,-0.216
1.070,-0.223
1.071,-0.222
1.072,-0.213
1.073,-0.206
1.074,-0.194
1.075,-0.181
1.076,-0.166
1.077,-0.144
1.078,-0.121
1.079,-0.084
1.080,-0.050
1.081,-0.013
1.082,0.029
1.083,0.081
1.084,0.136
1.085,0.197
1.086,0.270
1.087,0.359
1.088,0.444
1.089,0.537
1.090,0.638
1.091,0.750
1.092,0.859
1.093,0.963
1.094,1.069
1.095,1.169
1.096,1.264
1.097,1.344
1.098,1.421
1.099,1.472
1.100,1.508
1.101,1.519
1.102,1.517
1.103,1.456
1.104,1.389
1.105,1.291
1.106,1.195
1.107,1.078
1.108,0.953
1.109,0.812
1.110,0.670
1.111,0.513
1.112,0.361
1.113,0.231
1.114,0.112
1.115,0.019
1.116,-0.064
1.117,-0.097
1.118,-0.122
1.119,-0.134
1.120,-0.138
1.121,-0.138
1.122,-0.142
1.123,-0.141
1.124,-0.141
1.125,-0.144
1.126,-0.145
1.127,-0.144
1.128,-0.145
1.129,-0.144
1.130,-0.138
1.131,-0.131
1.132,-0.128
1.133,-0.122
1.134,-0.119
1.135,-0.116
1.136,-0.116
1.137,-0.116
1.138,-0.114
1.139,-0.116
1.140,-0.119
1.141,-0.125
1.142,-0.128
1.143,-0.131
1.144,-0.131
1.145,-0.131
1.146,-0.130
1.147,-0.131
1.148,-0.130
1.149,-0.128
1.150,-0.133
1.151,-0.131
1.152,-0.131
1.153,-0.131
1.154,-0.134
1.155,-0.138
1.156,-0.142
1.157,-0.138
1.158,-0.139
1.159,-0.138
1.160,-0.133
1.161,-0.131
1.162,-0.131
1.163,-0.131
1.164,-0.130
1.165,-0.131
1.166,-0.129
1.167,-0.131
1.168,-0.131
1.169,-0.131
1.170,-0.133
1.171,-0.138
1.172,-0.139
1.173,-0.141
1.174,-0.138
1.175,-0.138
1.176,-0.131
1.177,-0.128
1.178,-0.126
1.179,-0.128
1.180,-0.127
1.181,-0.128
1.182,-0.129
1.183,-0.128
1.184,-0.129
1.185,-0.128
1.186,-0.127
1.187,-0.125
1.188,-0.125
1.189,-0.122
1.190,-0.122
1.191,-0.122
1.192,-0.123
1.193,-0.122
1.194,-0.124
1.195,-0.122
1.196,-0.116
1.197,-0.112
1.198,-0.112
1.199,-0.109
1.200,-0.106
1.201,-0.103
1.202,-0.104
1.203,-0.106
1.204,-0.104
1.205,-0.106
1.206,-0.106
1.207,-0.106
1.208,-0.102
1.209,-0.100
1.210,-0.098
1.211,-0.097
1.212,-0.101
1.213,-0.103
1.214,-0.103
1.215,-0.103
1.216,-0.102
1.217,-0.100
1.218,-0.092
1.219,-0.088
1.220,-0.089
1.221,-0.091
1.222,-0.088
1.223,-0.091
1.224,-0.088
1.225,-0.088
1.226,-0.088
1.227,-0.088
1.228,-0.089
1.229,-0.088
1.230,-0.088
1.231,-0.088
1.232,-0.088
1.233,-0.088
1.234,-0.088
1.235,-0.088
1.236,-0.088
1.237,-0.088
1.238,-0.088
1.239,-0.088
1.240,-0.083
1.241,-0.084
1.242,-0.081
1.243,-0.081
1.244,-0.082
1.245,-0.084
1.246,-0.081
1.247,-0.081
1.248,-0.078
1.249,-0.075
1.250,-0.071
1.251,-0.069
1.252,-0.067
1.253,-0.069
1.254,-0.069
1.255,-0.072
1.256,-0.067
1.257,-0.069
1.258,-0.062
1.259,-0.059
1.260,-0.059
1.261,-0.056
1.262,-0.058
1.263,-0.056
1.264,-0.056
1.265,-0.056
1.266,-0.056
