'Elapsed time','II'
'seconds','mV'
0.000,-0.017
0.001,0.041
0.002,0.041
0.003,0.044
0.004,0.042
0.005,0.044
0.006,0.044
0.007,0.047
0.008,0.056
0.009,0.062
0.010,0.079
0.011,0.091
0.012,0.094
0.013,0.097
0.014,0.096
0.015,0.091
0.016,0.087
0.017,0.081
0.018,0.078
0.019,0.072
0.020,0.067
0.021,0.059
0.022,0.061
0.023,0.059
0.024,0.053
0.025,0.044
0.026,0.036
0.027,0.028
0.028,0.025
0.029,0.019
0.030,0.017
0.031,0.012
0.032,0.006
0.033,0.000
0.034,-0.009
0.035,-0.016
0.036,-0.022
0.037,-0.028
0.038,-0.031
0.039,-0.031
0.040,-0.030
0.041,-0.028
0.042,-0.022
0.043,-0.019
0.044,-0.025
0.045,-0.031
0.046,-0.036
0.047,-0.044
0.048,-0.043
0.049,-0.044
0.050,-0.047
0.051,-0.047
0.052,-0.046
0.053,-0.047
0.054,-0.047
0.055,-0.050
0.056,-0.052
0.057,-0.053
0.058,-0.058
0.059,-0.063
0.060,-0.064
0.061,-0.063
0.062,-0.061
0.063,-0.059
0.064,-0.064
0.065,-0.066
0.066,-0.067
0.067,-0.069
0.068,-0.069
0.069,-0.066
0.070,-0.066
0.071,-0.066
0.072,-0.066
0.073,-0.069
0.074,-0.070
0.075,-0.072
0.076,-0.071
0.077,-0.072
0.078,-0.069
0.079,-0.069
0.080,-0.071
0.081,-0.072
0.082,-0.073
0.083,-0.072
0.084,-0.069
0.085,-0.069
0.086,-0.064
0.087,-0.056
0.088,-0.058
0.089,-0.056
0.090,-0.058
0.091,-0.059
0.092,-0.061
0.093,-0.063
0.094,-0.064
0.095,-0.066
0.096,-0.070
0.097,-0.072
0.098,-0.076
0.099,-0.081
0.100,-0.081
0.101,-0.087
0.102,-0.094
0.103,-0.097
0.104,-0.106
0.105,-0.113
0.106,-0.113
0.107,-0.113
0.108,-0.105
0.109,-0.097
0.110,-0.087
0.111,-0.078
0.112,-0.061
0.113,-0.047
0.114,-0.023
0.115,0.000
0.116,0.034
0.117,0.072
0.118,0.117
0.119,0.169
0.120,0.225
0.121,0.281
0.122,0.333
0.123,0.381
0.124,0.428
0.125,0.478
0.126,0.537
0.127,0.603
0.128,0.675
0.129,0.744
0.130,0.799
0.131,0.853
0.132,0.912
0.133,0.966
0.134,1.019
0.135,1.066
0.136,1.087
0.137,1.100
0.138,1.095
0.139,1.084
0.140,1.034
0.141,0.975
0.142,0.909
0.143,0.841
0.144,0.759
0.145,0.684
0.146,0.622
0.147,0.556
0.148,0.491
0.149,0.425
0.150,0.364
0.151,0.306
0.152,0.244
0.153,0.178
